1011.1,55255,74098
0.83333,0,37
217.67,8647,27980
1097.5,60018,78416
845.87,48358,67286
721,40564,60370
530.77,31152,52350
1165.2,61999,80389
0,0,0
1.7667,0,332
912.9,51313,70328
14.433,0,1228
416.37,23876,43716
1110.5,59429,77852
924.37,50770,69479
1,0,58
14.2,0,1628
146.07,2276,21574
1096.3,59924,78343
381.87,13558,26200
775.33,42265,61267
19.7,0,1252
15.571,0,2091
400.6,21725,43798
925.2,52170,71329
1103.5,57500,76323
1082.2,58730,77347
1164,62189,79517
1078.6,56962,75629
79.562,0,4990
1040.1,57417,76768
1097.8,59105,77653
1062.7,58913,77834
987.63,54001,72547
133.43,1006,17106
1206.6,62658,80589
16.933,0,1227
900.8,51985,71001
1161.1,62662,80758
940.2,51521,70395
263.13,11936,32540
963.33,52637,71669
1263.5,64114,82089
738.7,41441,61355
177.47,3844,24823
1219.6,61309,79225
694.53,40787,60963
1320,66393,84925
821.6,46540,65736
13.633,0,835
600.97,34349,54691
822.43,46091,65173
624.8,37303,56818
15.567,0,1086
9.2333,0,1059
530.43,31584,52802
918.8,50899,69846
674.6,40658,61173
622.27,37010,57318
652.73,37646,57418
0.63333,0,19
276.81,8124,20119
391.33,23822,45887
0,0,0
587.43,34654,55218
17.033,0,1035
1188.3,61109,79781
265.47,9780,24045
578.5,33615,53217
420,23170,39847
239.87,11453,31135
655.13,40265,61078
1.4333,0,74
551.37,34476,55699
11.667,0,1229
1023.5,56643,75883
811.67,47756,67587
358.87,20557,42122
3.1,0,257
204.19,1895,9731
799.7,42742,61338
92.375,5,5028
20.967,0,1527
1.2333,0,166
10.867,0,1255
0.83333,0,32
502.7,30293,51672
625.57,36022,56077
1238.7,64392,82408
4.3,0,563
592.12,16855,27059
605.1,35234,57364
17.5,0,1170
1088.4,59129,77451
0,0,0
865.33,48969,69551
29.562,0,2668
604.3,36687,57926
657.2,37655,57944
966.8,52681,70764
